"name"	"country_code"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	59.49	58.61	58.81	59.06	59.32	59.58	59.85	60.12	60.35	60.60	60.83	61.07	61.34	61.56	61.74	62.02	62.20	62.43
"Albania"	8	72.70	72.92	73.33	73.85	74.40	75.02	75.63	76.26	76.88	77.43	77.95	78.45	78.89	79.30	79.72	80.06	80.44	80.78
"Algeria"	12	67.17	66.71	66.47	66.29	66.16	66.07	66.03	66.02	66.02	66.03	66.04	66.10	66.15	66.20	66.27	66.36	66.48	66.50
"Antigua and Barbuda"	28	71.49	71.41	71.51	71.74	72.05	72.41	72.82	73.28	73.78	74.31	74.82	75.41	75.94	76.53	77.12	77.67	78.19	78.69
"Argentina"	32	70.72	70.83	71.11	71.50	71.96	72.49	73.04	73.65	74.26	74.87	75.46	75.99	76.54	77.03	77.49	77.97	78.38	78.75
"Armenia"	51	69.31	69.01	68.93	68.93	69.04	69.19	69.39	69.60	69.88	70.17	70.49	70.73	71.14	71.54	71.91	72.34	72.76	73.12
"Aruba"	533	71.01	70.72	70.64	70.65	70.77	70.95	71.17	71.40	71.67	71.99	72.28	72.65	72.97	73.36	73.73	74.12	74.55	74.92
"Australia"	36	78.95	79.15	79.44	79.76	80.10	80.46	80.79	81.17	81.55	81.93	82.31	82.67	83.05	83.42	83.78	84.18	84.56	84.94
"Austria"	40	76.81	77.22	77.66	78.09	78.49	78.88	79.26	79.63	80.01	80.37	80.75	81.12	81.47	81.82	82.17	82.51	82.86	83.20
"Azerbaijan"	31	65.50	65.04	64.78	64.61	64.55	64.53	64.55	64.61	64.71	64.81	64.96	65.11	65.27	65.47	65.68	65.89	66.16	66.38
"Bahrain"	48	73.89	73.61	73.54	73.59	73.70	73.93	74.13	74.40	74.72	75.03	75.43	75.82	76.21	76.62	77.04	77.52	77.98	78.42
"Bangladesh"	50	67.17	67.44	67.70	67.95	68.19	68.41	68.65	68.82	69.03	69.22	69.38	69.66	69.88	70.13	70.34	70.59	70.86	71.16
"Barbados"	52	70.95	70.81	70.86	71.05	71.31	71.65	72.03	72.47	72.94	73.46	73.93	74.45	75.02	75.58	76.13	76.71	77.23	77.80
"Belarus"	112	62.19	61.95	61.89	61.95	62.09	62.24	62.45	62.69	62.96	63.25	63.51	63.82	64.12	64.45	64.81	65.16	65.48	65.87
"Belgium"	56	76.20	76.53	77.00	77.46	77.89	78.29	78.68	79.04	79.40	79.74	80.07	80.40	80.73	81.06	81.37	81.68	82.01	82.34
"Bhutan"	64	65.02	65.38	65.72	66.00	66.27	66.47	66.70	66.88	67.06	67.25	67.44	67.56	67.81	68.01	68.29	68.47	68.69	68.96
"Bolivia (Plurinational State of)"	68	62.44	62.50	62.61	62.78	62.93	63.10	63.24	63.41	63.60	63.75	63.90	64.09	64.23	64.41	64.55	64.72	64.99	65.15
"Bosnia and Herzegovina"	70	71.86	71.81	71.96	72.20	72.51	72.86	73.28	73.73	74.19	74.68	75.16	75.69	76.13	76.62	77.14	77.57	78.06	78.51
"Brazil"	76	68.13	68.36	68.76	69.26	69.78	70.34	70.89	71.54	72.20	72.89	73.55	74.24	74.92	75.54	76.19	76.82	77.37	77.90
"Brunei Darussalam"	96	74.83	75.01	75.34	75.77	76.27	76.80	77.39	77.94	78.52	79.07	79.58	80.09	80.53	80.93	81.33	81.70	82.09	82.41
"Bulgaria"	100	68.07	67.71	67.57	67.52	67.58	67.71	67.86	68.11	68.36	68.62	68.98	69.35	69.69	70.08	70.47	70.89	71.34	71.80
"Cambodia"	116	66.11	66.24	66.38	66.50	66.63	66.78	66.86	67.04	67.20	67.38	67.61	67.78	68.04	68.21	68.40	68.61	68.87	69.12
"Canada"	124	77.60	77.90	78.27	78.62	78.96	79.28	79.62	79.95	80.24	80.54	80.85	81.14	81.44	81.72	82.02	82.29	82.59	82.87
"Cape Verde"	132	68.66	69.11	69.62	70.16	70.72	71.33	71.93	72.54	73.13	73.71	74.30	74.89	75.48	76.01	76.55	77.01	77.45	77.82
"Channel Islands"	830	76.53	76.61	76.88	77.28	77.70	78.15	78.59	79.00	79.38	79.76	80.10	80.48	80.82	81.16	81.49	81.82	82.15	82.48
"Chile"	152	75.22	75.76	76.44	77.11	77.67	78.14	78.59	79.01	79.37	79.75	80.11	80.44	80.78	81.09	81.40	81.71	82.03	82.34
"China"	156	72.01	71.73	71.62	71.58	71.50	71.48	71.41	71.33	71.28	71.31	71.41	71.57	71.85	72.17	72.49	72.86	73.30	73.76
"China, Hong Kong SAR"	344	79.07	79.38	79.78	80.20	80.60	81.03	81.44	81.86	82.29	82.72	83.11	83.50	83.88	84.29	84.64	85.02	85.37	85.75
"China, Macao SAR"	446	76.36	76.77	77.33	77.94	78.51	79.01	79.49	79.93	80.32	80.70	81.08	81.45	81.83	82.18	82.52	82.86	83.19	83.54
"Colombia"	170	68.35	68.43	68.71	69.08	69.55	70.07	70.60	71.20	71.81	72.44	73.07	73.67	74.33	74.97	75.61	76.22	76.77	77.32
"Comoros"	174	56.88	56.72	56.73	56.76	56.86	57.02	57.27	57.49	57.68	57.95	58.19	58.44	58.69	58.92	59.20	59.45	59.73	59.98
"Costa Rica"	188	75.91	76.24	76.74	77.29	77.86	78.41	78.85	79.27	79.65	80.02	80.33	80.64	80.96	81.28	81.58	81.84	82.11	82.39
"Croatia"	191	71.78	71.91	72.21	72.61	73.11	73.62	74.19	74.74	75.33	75.90	76.44	76.94	77.38	77.83	78.27	78.64	79.02	79.39
"Cuba"	192	75.44	75.57	75.90	76.29	76.77	77.25	77.77	78.29	78.78	79.24	79.64	80.00	80.41	80.75	81.11	81.43	81.72	82.06
"Curacao"	531	71.84	71.95	72.23	72.62	73.03	73.54	74.02	74.55	75.12	75.68	76.20	76.68	77.12	77.56	77.94	78.34	78.74	79.05
"Cyprus"	196	76.06	76.17	76.46	76.87	77.32	77.80	78.26	78.72	79.16	79.56	79.97	80.34	80.68	81.02	81.36	81.69	81.99	82.26
"Czech Republic"	203	72.76	72.80	73.07	73.44	73.83	74.37	74.85	75.45	76.05	76.60	77.11	77.63	78.10	78.54	78.93	79.37	79.77	80.15
"Dem. People's Republic of Korea"	408	64.12	64.49	64.92	65.37	65.80	66.25	66.70	67.17	67.64	68.16	68.73	69.28	69.82	70.44	71.03	71.68	72.32	72.93
"Democratic Republic of the Congo"	180	45.40	45.59	46.09	46.79	47.57	48.39	49.23	50.11	50.97	51.79	52.58	53.34	54.00	54.70	55.39	55.91	56.49	57.02
