"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	"  0"	0.35118093	0.31180124	0.27731076	0.24702984	0.22105671	0.19925852	0.17735677	0.14857011	0.12035028	0.10152798	0.09032944	0.07703783	0.06542051	0.05748398	0.050799318	0.045318684	0.040636161	0.036547431	0.032991301	0.029953538	0.027165669	0.024708893	0.022627801	0.020878494	0.019328724	0.017845481	0.016624826	0.01557885	0.014578343	0.013686932
"Afghanistan"	4	"  1"	0.05191856	0.04639608	0.04143287	0.03697171	0.03309542	0.02980345	0.02639518	0.02154095	0.01643431	0.01302776	0.01116326	0.00897906	0.00714108	0.005637818	0.004573872	0.003718834	0.003055605	0.002529766	0.002108192	0.001802419	0.001545579	0.001331405	0.001173495	0.001057704	0.000957448	0.000863663	0.000796962	0.000745573	0.000696501	0.000652853
"Afghanistan"	4	"  5"	0.01110347	0.01000553	0.00900506	0.00809589	0.00729359	0.0066041	0.00588995	0.00489934	0.00389973	0.00319039	0.00277064	0.00227705	0.00185383	0.001543628	0.001300399	0.001103795	0.00094674	0.000819797	0.00071343	0.00062843	0.000553495	0.000489337	0.000439489	0.000400981	0.00036724	0.000335299	0.000311163	0.000291676	0.00027303	0.000256412
"Afghanistan"	4	" 10"	0.00865444	0.00780463	0.00703079	0.0063265	0.00570443	0.00516894	0.00461402	0.00384425	0.00303568	0.00248318	0.00216471	0.00178751	0.0014621	0.001222109	0.001033937	0.000881266	0.000758467	0.000658361	0.000574281	0.000507365	0.000448315	0.000397597	0.000357773	0.000326677	0.00029941	0.000273577	0.000253787	0.00023765	0.000222226	0.000208493
"Afghanistan"	4	" 15"	0.01136133	0.0102717	0.00928047	0.00837934	0.00758479	0.00690156	0.00619367	0.00521212	0.00426598	0.00356345	0.00313166	0.00262076	0.00218086	0.001858412	0.001603158	0.001393518	0.001216528	0.001062484	0.000932318	0.000826723	0.000732797	0.000651874	0.000588239	0.000538501	0.000494776	0.000453248	0.000421181	0.000394876	0.000369703	0.000347263
"Afghanistan"	4	" 20"	0.01426178	0.01290598	0.01167311	0.01055433	0.00956808	0.00872115	0.00784536	0.0066306	0.00551196	0.00465182	0.00410508	0.0034575	0.00290011	0.002492143	0.002168558	0.001902755	0.001675947	0.001476313	0.001306196	0.001161977	0.001031838	0.000919514	0.0008312	0.000762205	0.00070145	0.000643654	0.000598807	0.000561887	0.000526523	0.000494974
"Afghanistan"	4	" 25"	0.0159966	0.01447546	0.01309372	0.01184067	0.01073698	0.00978923	0.00880931	0.00745251	0.00622177	0.00528773	0.00468394	0.00396416	0.00334162	0.002885299	0.002522899	0.002225414	0.001971558	0.001748767	0.00155762	0.001396254	0.001249998	0.001122747	0.001020074	0.000937749	0.000865078	0.000795776	0.000740801	0.000694837	0.00065083	0.000611585
"Afghanistan"	4	" 30"	0.01813803	0.01641267	0.01484723	0.01342802	0.01217964	0.01110867	0.01000171	0.00846936	0.00705571	0.00601399	0.00535293	0.00456009	0.00386901	0.003359669	0.002953877	0.00262055	0.002336293	0.002087942	0.001873284	0.001692443	0.0015277	0.001383196	0.001263235	0.001164328	0.001076796	0.000993109	0.00092507	0.00086723	0.000811881	0.000762546
"Afghanistan"	4	" 35"	0.0199263	0.0180556	0.01635965	0.01482391	0.01347359	0.01231531	0.01111908	0.00946383	0.00792247	0.00682796	0.00613541	0.00529576	0.00455542	0.004006807	0.003567937	0.003208028	0.002900439	0.002633165	0.002398554	0.002191956	0.001999859	0.001829575	0.001683154	0.001558336	0.001447385	0.001340844	0.001251206	0.001173272	0.001098676	0.001032169
"Afghanistan"	4	" 40"	0.02140048	0.01946167	0.01770472	0.01611305	0.01471394	0.01351478	0.01227674	0.0105626	0.00894829	0.0078439	0.00715019	0.00629626	0.00553341	0.004963417	0.004502881	0.004123317	0.003794356	0.003505505	0.003247555	0.003009754	0.002783573	0.002580372	0.002396963	0.002233524	0.002087326	0.001946055	0.001821808	0.001710719	0.001604237	0.00150917
