"name"	"country_code"	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"WORLD"	900	7299598	7661639	7992658	8294600	8569616	8813871	9026724	9203728	9347206	9468015	9559402	9628035	9666519	9688664	9690605	9680203	9652789	9599217
"More developed regions"	901	1257497	1270181	1278116	1282045	1283099	1281646	1278539	1273518	1266989	1258793	1249281	1240077	1231153	1221784	1212307	1202215	1191662	1179324
"Less developed regions"	902	6040700	6388532	6709631	7005299	7277140	7520567	7734949	7913666	8062358	8183345	8278526	8348999	8393165	8421689	8431294	8422219	8397279	8355054
"Least developed countries"	941	936617	1040761	1149825	1262211	1377340	1494065	1610877	1725029	1834641	1940137	2039192	2131715	2214234	2287202	2346867	2398935	2435268	2461108
"Less developed regions, excluding least developed countries"	934	5102495	5343492	5551385	5730428	5880389	6000056	6088884	6140981	6168405	6173431	6152878	6116817	6064962	6000936	5926879	5850748	5766758	5674716
"Less developed regions, excluding China"	948	4611753	4933084	5242408	5538520	5818131	6080119	6320781	6534684	6724635	6889563	7030633	7140576	7229761	7294969	7335575	7357020	7355989	7344328
"Sub-Saharan Africa"	947	946360	1069860	1201585	1342386	1491324	1646651	1805972	1964920	2121379	2276735	2423003	2564480	2696702	2812554	2912687	3001686	3072821	3130819
"AFRICA"	903	1162937	1303371	1451024	1605998	1768545	1935677	2106560	2276535	2442308	2603539	2757530	2903525	3035141	3153058	3255692	3342615	3414204	3467348
"Eastern Africa"	910	392677	445672	500791	558814	619638	682596	746090	808563	869925	930437	986153	1038451	1085848	1131041	1168108	1199425	1222548	1241383
"Burundi"	108	10695	12240	13739	15203	16700	18257	19756	21198	22513	23649	24689	25635	26456	27010	27219	27430	27526	27362
"Comoros"	174	762	839	917	999	1083	1164	1237	1302	1361	1415	1463	1501	1525	1548	1554	1557	1551	1538
"Djibouti"	262	888	937	977	1009	1033	1052	1063	1064	1056	1040	1019	992	963	931	895	863	828	792
"Eritrea"	232	6652	7492	8276	9025	9778	10524	11205	11778	12256	12625	12919	13114	13252	13324	13288	13222	13075	12901
"Ethiopia"	231	97615	107852	117429	126467	135154	143060	149778	155356	159856	163359	165612	166529	166252	164864	161839	157865	153885	149250
"Kenya"	404	46188	51570	57012	62652	68430	74129	79612	84505	89160	93239	96960	99722	102007	103624	104489	104815	104540	104030
"Madagascar"	450	23955	27081	30435	33911	37391	40855	44275	47558	50713	53618	56215	58472	60570	62440	63596	64598	65083	65100
"Malawi"	454	17122	19432	21918	24531	27249	29965	32664	35298	37822	40211	42440	44467	46319	47712	49104	50029	50726	51194
"Mauritius"	480	1243	1246	1241	1224	1199	1165	1125	1079	1032	983	932	880	828	779	730	685	643	606
"Mayotte"	175	231	258	285	314	343	369	393	413	430	445	456	465	472	478	480	479	475	467
"Mozambique"	508	26824	29799	33002	36425	39877	43297	46633	49955	53097	55870	58608	60792	62656	64123	65314	66125	66405	66530
"Reunion"	638	887	923	954	979	998	1009	1015	1012	1006	994	980	963	943	921	894	868	839	809
"Rwanda"	646	12283	13775	15303	16838	18336	19777	21095	22251	23253	24152	24807	25260	25512	25644	25624	25401	25057	24613
"Seychelles"	690	93	94	94	94	93	92	91	88	85	82	78	75	72	68	65	62	58	55
"Somalia"	706	11001	12457	13966	15478	16952	18403	19763	21042	22186	23204	24091	24878	25467	25874	26213	26271	26400	26212
"South Sudan"	728	12013	13473	14848	16116	17360	18563	19630	20667	21530	22248	22893	23296	23561	23746	23721	23614	23318	23070
"Uganda"	800	39683	45742	52009	58292	64621	70823	76713	82397	87687	92070	96449	100173	103169	105222	106249	107723	107486	107235
"United Republic of Tanzania"	834	51738	58965	66655	74813	83475	92234	101111	109634	117704	125429	132502	138922	144939	150013	153934	157013	159700	161146
"Zambia"	894	15367	17861	20656	23748	27138	30813	34671	38691	42900	47192	51519	55860	60206	64463	68696	72774	76833	80465
