"name"	"country_code"	2010	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"WORLD"	900	6916183	7286200	7629851	7942659	8223268	8476119	8692917	8879091	9020278	9132760	9207566	9260019	9289677	9289734	9266711	9229141	9158625	9077799	8987685
"More developed regions"	901	1240935	1256358	1267534	1273858	1276259	1275164	1271227	1265396	1257120	1246586	1235669	1222580	1210526	1196942	1183240	1168966	1154262	1138054	1120462
"Less developed regions"	902	5675249	6028070	6357218	6662137	6936028	7184841	7402015	7588777	7737140	7854672	7937211	7998196	8030052	8045342	8023369	7989608	7927516	7867392	7782258
"Least developed countries"	941	838807	934779	1036461	1141255	1249165	1358580	1467108	1574398	1676772	1777877	1869270	1952783	2029166	2094294	2148223	2193275	2220412	2238516	2242476
"Less developed regions, excluding least developed countries"	934	4836442	5090352	5316059	5508284	5667636	5798073	5897041	5961119	5988176	5989448	5966069	5916245	5850012	5769611	5664018	5569701	5461076	5343737	5226831
"Less developed regions, excluding China"	948	4315427	4601197	4907649	5202783	5482807	5742309	5982126	6196273	6380650	6537532	6671511	6774999	6852626	6905717	6923360	6929075	6903107	6858159	6803500
"Sub-Saharan Africa"	947	831464	944818	1065615	1193163	1328602	1469949	1616611	1763709	1909801	2049706	2186299	2315488	2433066	2541436	2632216	2702819	2757367	2794274	2822844
"AFRICA"	903	1031084	1161163	1298600	1442183	1590808	1745010	1903038	2060576	2215036	2366673	2510188	2641622	2761953	2871874	2964403	3039101	3089894	3127393	3147974
"Eastern Africa"	910	342595	391683	442578	495126	549998	606766	664756	722310	777545	831720	883442	931060	974093	1009496	1041309	1066592	1089219	1101129	1106460
"Burundi"	108	9233	10626	12018	13250	14346	15369	16444	17371	18147	18758	19196	19630	19846	19969	20040	19789	19416	19005	18404
"Comoros"	174	683	757	829	897	968	1040	1102	1156	1200	1235	1265	1283	1290	1292	1280	1262	1236	1203	1161
"Djibouti"	262	834	881	922	952	972	986	992	990	979	956	927	893	853	812	765	719	677	635	591
"Eritrea"	232	5741	6604	7364	8036	8645	9237	9790	10272	10648	10903	11021	11055	11018	10918	10772	10563	10246	10009	9675
"Ethiopia"	231	87095	96877	105670	113517	120756	127514	133226	137743	140767	143158	144575	144293	142645	139957	136488	132094	126766	120869	115452
"Kenya"	404	40909	45878	50856	55802	60808	65741	70285	74388	78075	81105	83805	85957	86963	87197	87500	87034	86324	84795	82546
"Madagascar"	450	21080	23796	26701	29727	32745	35687	38475	41134	43523	45512	47227	48637	49686	50517	51366	51449	51380	51059	50150
"Malawi"	454	15014	17031	19192	21478	23800	26066	28266	30394	32309	34133	35662	37052	38094	38824	39371	39876	40135	39839	39488
"Mauritius"	480	1231	1237	1234	1221	1197	1162	1119	1067	1014	956	899	838	778	717	658	603	549	500	458
"Mayotte"	175	204	230	254	280	305	330	352	371	385	398	408	415	419	420	418	414	407	397	383
"Mozambique"	508	23967	26658	29384	32156	34910	37461	39951	42351	44606	46555	48054	49618	50835	51782	52146	52414	52101	51554	50978
"Reunion"	638	845	882	914	938	955	965	968	963	952	934	913	890	861	831	799	764	723	684	646
"Rwanda"	646	10837	12206	13594	14960	16328	17601	18798	19780	20670	21322	21865	22156	22235	22111	21938	21583	21087	20480	19755
"Seychelles"	690	91	92	93	92	92	90	88	86	82	79	75	70	66	62	57	54	50	46	42
"Somalia"	706	9636	10929	12226	13454	14583	15635	16613	17447	18172	18780	19304	19731	19950	20041	19960	19845	19549	19297	18877
"South Sudan"	728	9941	11937	13255	14396	15388	16284	17143	17888	18520	18917	19217	19412	19410	19278	19096	18664	18255	17598	17070
"Uganda"	800	33987	39415	44871	50123	55141	59806	64501	68774	72192	75447	77970	79909	81167	81871	81605	80925	79932	78244	76861
"United Republic of Tanzania"	834	44973	51428	58154	65028	72134	79327	86391	93037	99091	104626	109040	113082	116527	118936	121003	121845	120944	120370	119024
"Zambia"	894	13217	15285	17659	20259	23071	26050	29186	32433	35645	39025	42223	45270	48172	50955	53535	56078	58480	60287	62336
"Zimbabwe"	716	13077	14744	16407	17574	18585	19448	20256	20889	21338	21664	21849	21826	21568	21053	20438	19788	19052	18421	17661
"Middle Africa"	911	124978	141851	159183	176737	194159	211543	228889	245574	260884	274663	287428	298133	307580	314072	318132	319753	318220	315068	310515
"Angola"	24	19549	22634	25824	28846	31727	34227	36550	38604	40251	41783	42800	43673	44164	44082	43832	43446	42868	42036	41012
"Cameroon"	120	20624	22976	25393	27723	30040	32304	34348	36312	38070	39480	40641	41556	42176	42583	42610	42277	41808	41168	40291
"Central African Republic"	140	4350	4705	5018	5288	5529	5758	5943	6102	6198	6256	6274	6256	6204	6103	5968	5827	5647	5415	5195
"Chad"	148	11721	13321	14826	16268	17546	18826	19980	20990	21769	22363	22821	23091	23125	23086	22926	22357	21762	21069	20296
"Congo"	178	4112	4644	5164	5739	6345	6978	7609	8209	8734	9245	9699	10078	10404	10634	10785	10848	10829	10797	10626
"Democratic Republic of the Congo"	180	62191	69934	77241	83781	89567	94739	99280	103078	105822	107094	108222	108298	107364	105588	102440	98982	95040	90474	85586
"Equatorial Guinea"	226	696	784	864	933	995	1051	1104	1146	1183	1209	1225	1234	1236	1231	1214	1187	1154	1109	1067
"Gabon"	266	1556	1743	1915	2079	2236	2388	2534	2667	2778	2869	2933	2978	3002	3019	3014	2991	2931	2857	2777
"Sao Tome and Principe"	678	178	199	218	236	254	272	288	300	310	317	322	324	323	320	314	306	299	290	279
"Northern Africa"	912	199620	215072	229902	242851	254227	263811	272214	278618	283754	286698	287323	286104	283715	279749	275042	269608	263658	256860	248636
"Algeria"	12	37063	40484	42996	44843	46102	46935	47386	47560	47423	46705	45628	44100	42441	40698	38952	37194	35416	33485	31476
"Egypt"	818	78076	83176	87632	91369	94480	97039	98824	99762	100070	99521	98446	96542	94001	90743	87376	83552	79475	75222	71189
"Libya"	434	6041	6204	6525	6757	6921	7015	7077	7085	7020	6889	6714	6471	6192	5884	5559	5217	4883	4535	4202
"Morocco"	504	31642	33819	35280	36437	37135	37538	37646	37506	37069	36329	35300	34067	32727	31295	29921	28546	27167	25725	24223
"Sudan"	729	35652	38905	42728	46357	49721	52892	55636	57917	59550	60828	61534	61843	61595	60918	59596	58057	56163	54311	52172
"Tunisia"	788	10632	11199	11590	11835	11940	11931	11850	11695	11458	11133	10717	10204	9685	9094	8506	7929	7388	6899	6435
"Western Sahara"	732	515	594	671	699	717	727	727	720	707	689	663	634	602	573	541	513	484	453	424
"Southern Africa"	913	58803	60327	61324	61988	62418	62653	62759	62467	62063	61378	60359	59089	57496	55815	53660	51676	49302	47186	44714
"Botswana"	72	1969	2016	2063	2102	2138	2173	2205	2230	2244	2247	2232	2198	2147	2091	2027	1944	1855	1755	1659
"Lesotho"	426	2009	2076	2127	2161	2182	2201	2213	2220	2223	2204	2170	2128	2081	2018	1959	1886	1814	1741	1671
"Namibia"	516	2179	2344	2497	2638	2766	2869	2950	3003	3032	3048	3039	3009	2944	2869	2768	2648	2530	2410	2274
"South Africa"	710	51452	52529	53073	53339	53390	53217	52988	52462	51643	50557	49387	47978	46342	44494	42654	40537	38390	36321	34142
"Swaziland"	748	1193	1258	1306	1340	1368	1391	1412	1429	1438	1448	1444	1437	1420	1393	1361	1321	1279	1233	1194
"Western Africa"	914	305088	348084	394473	443613	495540	549555	604694	659331	713341	764975	814761	860346	904434	940107	972418	998943	1013982	1023278	1022612
"Benin"	204	9510	10692	11864	12973	14012	14942	15803	16521	17105	17525	17747	17871	17797	17601	17260	16676	16140	15456	14790
"Burkina Faso"	854	15540	17613	19692	21666	23516	25231	26823	28339	29593	30637	31508	32084	32413	32623	32535	32478	32113	31388	30447
"Cape Verde"	132	488	497	507	517	523	528	527	524	516	502	485	465	439	410	380	349	317	288	263
"Cote d'Ivoire"	384	18977	21126	23237	25335	27394	29479	31620	33620	35596	37363	38886	40275	41480	42352	42968	43341	43565	43358	42967
"Gambia"	270	1681	1958	2252	2549	2843	3124	3376	3598	3791	3952	4062	4145	4188	4207	4162	4093	3979	3845	3725
"Ghana"	288	24263	26465	28551	30429	32163	33671	34900	35775	36356	36465	36232	35793	35113	34014	32692	31199	29848	28407	26821
"Guinea"	324	10876	12127	13341	14451	15485	16426	17255	17926	18445	18793	18942	18911	18713	18400	17840	17297	16613	15851	15161
"Guinea-Bissau"	624	1587	1758	1926	2082	2222	2341	2441	2522	2582	2611	2625	2608	2567	2522	2449	2379	2282	2176	2087
"Liberia"	430	3958	4427	4886	5329	5755	6170	6560	6878	7144	7368	7557	7685	7763	7799	7775	7698	7585	7424	7223
"Mali"	466	13986	16120	18466	20911	23293	25564	27722	29849	31852	33471	34863	36133	37083	37850	38235	38418	38302	37894	37405
"Mauritania"	478	3609	4061	4490	4904	5295	5656	6001	6285	6520	6715	6843	6922	6941	6902	6813	6698	6523	6323	6144
"Niger"	562	15894	19127	22965	27332	32079	37075	42239	47645	52887	57970	63026	67845	72344	76372	79619	82516	85404	87191	88903
"Nigeria"	566	159708	182054	205686	230205	255409	280258	304610	327955	348581	367437	384188	398984	411207	417730	422757	423549	421432	418038	407847
"Saint Helena"	654	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	2	2	2
"Senegal"	686	12951	14893	16788	18637	20493	22328	24141	25831	27266	28534	29657	30462	31172	31524	31716	31612	31282	30693	29938
"Sierra Leone"	694	5752	6197	6585	6891	7130	7324	7464	7512	7482	7381	7206	6993	6750	6468	6135	5827	5539	5241	4947
"Togo"	768	6306	7127	7907	8659	9383	10118	10831	11516	12118	12613	12980	13308	13539	13670	13761	13715	13638	13450	13223
"ASIA"	935	4165440	4350846	4507073	4629342	4716753	4771522	4797984	4783638	4739374	4674283	4581982	4475388	4362477	4232716	4096373	3960559	3840294	3717385	3598137
"Eastern Asia"	906	1593571	1622976	1635583	1628710	1606468	1574724	1528776	1473446	1412893	1342645	1269866	1196883	1127662	1053539	986771	925655	872475	826529	784088
"China"	156	1359821	1387086	1399046	1393517	1373980	1343921	1302083	1252231	1195699	1131088	1065202	1000005	931797	868221	805123	748104	701557	656883	618364
"China, Hong Kong SAR"	344	7050	7250	7409	7511	7555	7534	7461	7345	7187	6986	6731	6442	6166	5863	5549	5240	4938	4630	4336
"China, Macao SAR"	446	535	579	612	642	666	683	693	699	700	698	689	676	657	631	602	570	540	509	477
"Dem. People's Republic of Korea"	408	24501	25033	25341	25461	25377	25094	24666	24101	23393	22584	21712	20793	19833	18982	18023	16993	15959	15000	14089
"Japan"	392	127353	125834	123212	119652	115630	111214	106492	101762	96932	92075	87206	82131	77122	72291	67558	63339	59201	55111	51656
"Mongolia"	496	2713	2912	3052	3140	3187	3201	3197	3167	3106	3013	2905	2790	2667	2545	2421	2299	2177	2036	1909
"Republic of Korea"	410	48454	49252	49568	49584	49347	48781	47780	46416	44734	42743	40627	38374	36044	33811	31573	29436	27425	25549	23734
"Other non-specified areas"	158	23146	23136	22966	22615	22072	21376	20519	19470	18308	17039	15722	14397	13066	11825	10646	9565	8526	7649	6907
"South-Central Asia"	921	1743101	1834930	1916456	1984576	2037477	2075364	2093571	2097505	2086061	2058116	2019272	1962756	1898670	1829974	1756321	1682841	1606502	1532291	1460669
"Central Asia"	5500	61694	65474	68916	71582	73520	74922	76011	76722	76815	76166	74978	73500	71760	69932	67948	66001	63964	61927	59835
"Kazakhstan"	398	15921	16524	16974	17233	17339	17357	17329	17209	16935	16569	16098	15612	15081	14529	13980	13391	12801	12247	11668
"Kyrgyzstan"	417	5334	5686	6044	6321	6509	6644	6764	6852	6880	6841	6739	6601	6427	6250	6068	5864	5658	5459	5226
"Tajikistan"	762	7627	8580	9415	10145	10768	11363	11928	12448	12830	13091	13264	13337	13343	13271	13182	13034	12784	12539	12217
"Turkmenistan"	795	5042	5277	5473	5609	5690	5707	5667	5579	5443	5257	5047	4802	4529	4250	3960	3675	3413	3183	2966
"Uzbekistan"	860	27769	29198	30385	31193	31677	31772	31566	31068	30274	29234	27924	26405	24696	23077	21392	19792	18247	16797	15423
"Southern Asia"	5501	1681407	1769006	1846655	1910365	1961134	1996496	2014393	2014260	2001806	1974145	1934172	1876405	1812567	1743714	1673088	1601044	1523902	1449838	1380695
"Afghanistan"	4	28398	32007	34903	37474	39739	41719	43269	44478	45205	45419	45039	44337	43262	41966	40008	37572	35116	32768	30605
"Bangladesh"	50	151125	157400	163144	167441	170280	171365	170746	168516	164925	160081	154096	146909	138845	130363	121485	112340	103950	95721	88216
"Bhutan"	64	717	761	789	810	823	832	832	825	812	793	767	732	694	655	615	575	537	499	464
"India"	356	1205625	1261012	1306459	1341911	1367255	1378878	1379276	1367240	1343829	1309701	1267616	1220845	1161527	1104060	1042855	983653	926139	868929	814020
"Iran (Islamic Republic of)"	364	74462	79200	82491	84417	85444	85799	85586	84788	83261	80999	78002	74437	70195	65545	60952	56212	51998	47894	44399
"Maldives"	462	326	357	380	399	413	423	430	434	435	432	424	413	397	378	357	334	311	288	266
"Nepal"	524	26846	28306	29271	30003	30482	30761	30827	30626	30197	29576	28739	27808	26690	25362	23917	22378	20818	19348	18013
"Pakistan"	586	173149	184536	195311	204648	212686	218681	222731	224455	223870	220731	215948	208982	200531	191431	180968	170771	160192	149632	140054
"Sri Lanka"	144	20759	21535	21997	22177	22159	21996	21694	21255	20663	19944	19147	18367	17520	16616	15717	14857	14001	13225	12426
"South-Eastern Asia"	920	597097	627299	653265	675105	692668	704865	711925	713268	709708	701794	690181	674624	657703	638952	617981	596569	573752	552527	531287
"Brunei Darussalam"	96	401	422	440	455	467	474	477	473	465	453	438	422	405	386	367	346	323	302	279
"Cambodia"	116	14365	15364	16259	16991	17540	17974	18260	18430	18417	18240	17943	17549	17021	16400	15680	14912	14121	13364	12651
"Indonesia"	360	240676	251591	260709	267729	272792	275712	275827	272960	267653	261139	253267	244046	234526	224854	213870	202806	191240	180180	169089
"Lao People's Democratic Republic"	418	6396	6869	7324	7727	8054	8297	8478	8543	8557	8498	8364	8140	7860	7534	7144	6729	6304	5928	5563
