"name"	"country_code"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"WORLD"	900	7256925	7539163	7768450	7969407	8135087	8255351	8323978	8341706	8314597	8248967	8149085	8016514	7852342	7660738	7449881	7226104	6992097	6750256
"More developed regions"	901	1249148	1248332	1240241	1229312	1215208	1197350	1175030	1148504	1118355	1086172	1053024	1019176	984466	948853	912494	875725	838679	801409
"Less developed regions"	902	6007777	6290830	6528210	6740095	6919879	7058001	7148948	7193202	7196242	7162795	7096062	6997338	6867876	6711885	6537387	6350379	6153418	5948847
"Least developed countries"	941	931934	1026512	1121887	1220162	1319076	1415842	1507908	1593999	1673651	1745911	1809306	1862364	1903989	1933824	1951977	1959062	1955952	1943545
"Less developed regions, excluding least developed countries"	934	5075843	5264318	5406323	5519934	5600803	5642159	5641040	5599202	5522592	5416884	5286756	5134974	4963886	4778061	4585410	4391317	4197466	4005301
"Less developed regions, excluding China"	948	4588892	4860785	5104221	5332481	5538772	5714789	5854833	5957793	6026022	6060974	6062953	6032369	5970867	5881180	5767594	5634750	5487059	5328602
"Sub-Saharan Africa"	947	941560	1055985	1175324	1302946	1436820	1573452	1709226	1841791	1969714	2091276	2204076	2305460	2393394	2466354	2523617	2564733	2589816	2599107
"AFRICA"	903	1156527	1284920	1416115	1554213	1697235	1841470	1982991	2119218	2248756	2369995	2480655	2578233	2660927	2727465	2777356	2810260	2826363	2826100
"Eastern Africa"	910	391516	441689	493016	547102	603010	659212	714245	767295	817771	865029	908141	946123	978276	1004238	1023798	1036966	1043852	1044816
"Burundi"	108	10730	12343	13975	15691	17574	19637	21802	23966	26064	28113	30125	32060	33853	35452	36832	37988	38907	39570
"Comoros"	174	764	842	922	1006	1094	1180	1260	1332	1400	1464	1523	1574	1614	1645	1666	1678	1682	1677
"Djibouti"	262	891	942	983	1015	1042	1063	1076	1077	1069	1053	1030	1001	968	930	889	848	805	763
"Eritrea"	232	6680	7562	8419	9288	10175	11053	11872	12599	13225	13756	14194	14528	14753	14867	14874	14778	14582	14293
"Ethiopia"	231	98148	109206	119983	130524	140556	149817	158044	165075	170824	175231	178229	179718	179649	178040	174998	170720	165463	159498
"Kenya"	404	46339	51754	57179	62860	68692	74455	79953	85114	89864	94161	97899	100970	103322	104944	105819	105948	105361	104112
"Madagascar"	450	24026	27191	30553	34123	37793	41479	45115	48680	52125	55381	58390	61085	63426	65375	66912	68039	68760	69084
"Malawi"	454	17174	19507	22012	24738	27610	30561	33562	36585	39583	42501	45299	47937	50368	52549	54456	56058	57334	58288
"Mauritius"	480	1242	1241	1230	1212	1186	1151	1107	1059	1007	953	898	842	786	729	674	621	573	531
"Mayotte"	175	232	258	285	313	341	366	389	408	424	436	446	453	458	459	457	452	443	431
"Mozambique"	508	26904	29938	33255	36962	40915	44917	48889	52833	56725	60442	63858	66881	69465	71578	73198	74307	74881	74938
"Reunion"	638	887	920	945	965	980	988	989	982	968	950	929	906	879	849	815	779	742	704
"Rwanda"	646	12322	13818	15322	16849	18361	19815	21146	22319	23329	24165	24808	25237	25443	25440	25243	24867	24332	23662
"Seychelles"	690	93	94	93	93	92	91	89	86	83	79	75	71	67	63	58	54	51	47
"Somalia"	706	11045	12595	14297	16166	18153	20198	22252	24296	26316	28280	30138	31841	33351	34642	35696	36512	37082	37415
"South Sudan"	728	12061	13584	15042	16469	17908	19320	20671	21936	23103	24154	25059	25785	26318	26651	26796	26762	26557	26196
"Uganda"	800	39825	46161	52987	60419	68284	76358	84443	92398	100150	107574	114480	120714	126144	130696	134326	136989	138658	139363
"United Republic of Tanzania"	834	51861	59155	66925	75518	84823	94574	104485	114443	124349	134097	143498	152342	160476	167802	174158	179451	183601	186596
"Zambia"	894	15395	17893	20680	23825	27319	31124	35198	39518	44067	48819	53722	58721	63761	68796	73769	78628	83309	87750
"Zimbabwe"	716	14896	16685	17930	19066	20112	21065	21903	22587	23094	23417	23540	23456	23178	22733	22159	21487	20730	19899
"Middle Africa"	911	142203	160401	179516	199756	220560	241320	261514	280884	299152	316006	330970	343749	354024	361719	366731	369083	368914	366358
"Angola"	24	22645	25970	29449	33183	37038	40882	44619	48218	51660	54862	57733	60212	62246	63815	64899	65490	65596	65258
"Cameroon"	120	23198	25854	28569	31422	34366	37310	40175	42905	45476	47841	49945	51740	53181	54246	54939	55272	55257	54916
"Central African Republic"	140	4764	5175	5583	5991	6390	6767	7113	7421	7682	7888	8035	8121	8145	8113	8027	7893	7714	7497
"Chad"	148	13504	15439	17603	19946	22412	24928	27433	29900	32288	34555	36636	38483	40057	41331	42283	42912	43223	43224
"Congo"	178	4633	5161	5765	6429	7143	7880	8618	9348	10067	10768	11438	12062	12628	13126	13548	13886	14138	14300
"Democratic Republic of the Congo"	180	70730	79775	89233	99178	109316	119378	129122	138424	147107	155045	161995	167840	172414	175715	177678	178326	177768	176062
"Equatorial Guinea"	226	793	892	989	1085	1180	1270	1356	1435	1507	1569	1619	1656	1679	1688	1683	1665	1634	1592
"Gabon"	266	1736	1912	2084	2257	2431	2599	2755	2893	3013	3115	3197	3257	3293	3305	3295	3265	3215	3149
"Sao Tome and Principe"	678	201	222	242	263	285	306	324	339	352	363	372	377	380	381	379	374	368	360
"Northern Africa"	912	214968	228935	240792	251266	260414	268017	273765	277428	279042	278718	276579	272773	267533	261111	253739	245527	236547	226993
"Algeria"	12	40223	42731	44536	45804	46668	47246	47554	47501	46986	46009	44675	43141	41554	39982	38412	36770	35022	33212
"Egypt"	818	83872	88821	92939	96606	99834	102446	104253	105190	105358	104850	103688	101847	99357	96323	92883	89130	85111	80918
"Libya"	434	6250	6590	6832	7011	7145	7238	7280	7253	7153	6985	6762	6499	6210	5901	5578	5240	4892	4545
"Morocco"	504	33623	35068	36188	36986	37482	37687	37607	37237	36614	35759	34711	33519	32239	30916	29571	28212	26839	25466
"Sudan"	729	39282	43569	47890	52312	56696	60844	64630	68024	71034	73639	75760	77326	78304	78698	78570	77994	77022	75688
"Tunisia"	788	11120	11478	11700	11820	11849	11809	11696	11486	11176	10778	10311	9796	9255	8706	8170	7656	7165	6698
"Western Sahara"	732	598	678	707	728	741	747	745	736	720	698	672	644	614	584	555	525	496	466
"Southern Africa"	913	60718	61824	62545	63110	63539	63729	63592	63135	62356	61262	59851	58107	56048	53744	51276	48702	46063	43406
"Botswana"	72	2035	2091	2137	2189	2240	2288	2328	2357	2373	2372	2349	2305	2239	2156	2061	1958	1850	1739
"Lesotho"	426	2099	2166	2216	2258	2295	2328	2354	2372	2375	2360	2328	2280	2218	2145	2066	1981	1894	1805
"Namibia"	516	2369	2544	2706	2856	2986	3092	3171	3226	3258	3267	3252	3210	3143	3052	2945	2826	2700	2568
"South Africa"	710	52943	53690	54108	54389	54561	54533	54223	53645	52803	51712	50378	48786	46950	44929	42788	40571	38308	36038
"Swaziland"	748	1273	1332	1378	1418	1456	1488	1515	1535	1547	1551	1545	1527	1498	1461	1416	1366	1312	1256
"Western Africa"	914	347123	392072	440246	492978	549711	609192	669874	730477	790435	848980	905114	957481	1005045	1046653	1081812	1109981	1130986	1144527
"Benin"	204	10792	12095	13411	14758	16094	17370	18549	19613	20558	21371	22030	22511	22804	22913	22846	22622	22260	21777
"Burkina Faso"	854	17778	20152	22667	25360	28173	31013	33807	36508	39104	41564	43842	45874	47620	49046	50138	50892	51311	51405
"Cape Verde"	132	503	517	529	540	548	551	550	545	534	520	501	478	451	421	389	358	328	300
"Cote d'Ivoire"	384	21123	23286	25494	27807	30202	32647	35090	37483	39797	41991	44035	45881	47480	48797	49835	50582	51019	51156
"Gambia"	270	1954	2253	2573	2919	3282	3650	4010	4353	4672	4963	5222	5440	5615	5740	5817	5846	5829	5769
"Ghana"	288	26744	29085	31275	33400	35422	37251	38784	39981	40848	41405	41661	41598	41231	40576	39675	38575	37328	35981
"Guinea"	324	12250	13648	15054	16487	17901	19261	20520	21656	22656	23496	24163	24634	24896	24957	24827	24528	24083	23513
"Guinea-Bissau"	624	1774	1965	2158	2357	2558	2755	2942	3114	3271	3412	3535	3636	3715	3768	3799	3807	3795	3763
"Liberia"	430	4467	4983	5516	6082	6662	7235	7783	8298	8780	9229	9632	9977	10253	10457	10588	10648	10643	10578
"Mali"	466	16144	18737	21686	25016	28687	32627	36739	40934	45167	49356	53438	57320	60915	64133	66924	69233	71052	72357
"Mauritania"	478	4048	4487	4926	5376	5827	6264	6670	7039	7372	7668	7924	8132	8287	8385	8427	8418	8363	8268
"Niger"	562	19137	23035	27696	33219	39587	46769	54709	63334	72535	82163	92016	101891	111587	120904	129698	137775	144978	151124
"Nigeria"	566	182184	206391	232609	261671	293364	326990	361653	396509	431225	465356	498334	529351	557836	583011	604528	621998	635284	644146
